# Artemis Phase 1B allow-list — precise per-file × per-pattern × allowed_count
# legacy exemptions. Each entry caps the number of currently-permitted hits;
# adding a new matching callsite increases actual_count above allowed_count
# and the gate fails. NO WILDCARDS — every entry must specify the exact file,
# the exact banned pattern from BANNED_PATTERNS, and a positive integer count.
#
# Columns:
#   script_path     repo-relative .java path
#   banned_pattern  one of BANNED_PATTERNS verbatim
#   allowed_count   positive integer; max actual hits permitted today
#   reason          one sentence — what's missing in Artemis
#   removal_phase   tag of the migration that retires this entry
script_path	banned_pattern	allowed_count	reason	removal_phase
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV2Script.java	net\.runelite\.client\.sequence\.dispatch\.	2	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 5 (ChickenFarmV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV2Script.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 5 (ChickenFarmV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV2Script.java	net\.runelite\.client\.plugins\.recorder\.walker\.	3	uses walker subsystem direct; replaced by walkTo	Phase 5 (ChickenFarmV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV2Script.java	net\.runelite\.client\.plugins\.recorder\.transport\.	1	uses transport subsystem direct; replaced by walkTo	Phase 5 (ChickenFarmV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV2Script.java	net\.runelite\.client\.callback\.ClientThread	1	marshals to client thread directly; Artemis handles internally	Phase 5 (ChickenFarmV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV2Script.java	^import net\.runelite\.api\.widgets\.Widget;	1	uses raw Widget API type; replaced by WidgetRef	Phase 5 (ChickenFarmV4 — V2 deleted alongside V3)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV2Script.java	\bclickCanvas\(	1	CLAUDE.md §10 BANNED — replaced by sampleInsideShape via Artemis Steps	Phase 3 (PixelResolver §10 rewrite)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	net\.runelite\.client\.sequence\.dispatch\.	2	uses dispatcher direct for click / use-on; v1.x Artemis Steps replace these reaches	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	net\.runelite\.client\.sequence\.internal\.ActionRequest	1	constructs ActionRequest directly; Artemis-returned Steps replace	Phase 5 (ChickenFarmV4)
runelite-client/src/main/java/net/runelite/client/plugins/recorder/scripts/ChickenFarmV3Script.java	net\.runelite\.client\.plugins\.recorder\.farm\.BankInteraction	1	uses BankInteraction direct; v1.1 bank surface replaces	Phase 5 (ChickenFarmV4)
